product;announcement;eos;eol
MX50;15.07.2011;01.09.2011;01.09.2016
MS70;18.01.2012;31.03.2012;31.03.2017
MR11;29.05.2012;30.08.2012;30.08.2017
MR14;29.05.2012;30.08.2012;30.08.2017
MR58;26.07.2012;30.10.2012;30.10.2017
MX90;05.11.2013;26.04.2014;26.04.2021
MS22;05.11.2013;26.04.2014;26.04.2021
MS22P;05.11.2013;26.04.2014;26.04.2021
MS42;05.11.2013;26.04.2014;26.04.2021
MS42P;05.11.2013;26.04.2014;26.04.2021
MR16;27.02.2014;31.05.2014;31.05.2021
MR24;27.02.2014;31.05.2014;31.05.2021
ANT-11;12.01.2015;24.04.2015;24.04.2022
ANT-13;12.01.2015;24.04.2015;24.04.2022
MX60;10.07.2015;24.10.2015;24.10.2022
MX60W;10.07.2015;24.10.2015;24.10.2022
MR12;10.07.2015;24.10.2015;24.10.2022
MX80;26.01.2016;30.08.2016;30.08.2023
MR26;09.02.2016;09.05.2016;09.05.2023
AC-MR-1-XX;09.02.2016;09.05.2016;09.05.2023
MR34;01.08.2016;31.10.2016;31.10.2023
MS420;01.08.2016;31.10.2016;31.10.2023
MR18;08.12.2016;13.02.2017;31.03.2024
MS320;08.12.2016;31.03.2017;13.02.2024
MR32;18.01.2017;30.04.2017;31.07.2024
MR72;07.03.2017;30.04.2017;30.04.2024
MS220;16.03.2017;29.07.2017;29.07.2024
MR66;07.06.2017;09.06.2017;09.06.2024
MR62;15.08.2017;15.11.2017;15.11.2024
ANT-10;06.09.2017;11.09.2017;11.09.2024
MS220-8P;09.01.2018;28.07.2018;08.07.2025
MX400;28.02.2018;20.05.2018;20.05.2025
MX600;28.02.2018;20.05.2018;20.05.2025
Z1;27.04.2018;27.07.2018;27.07.2025
MC74;27.09.2018;01.10.2018;01.04.2019
MX65;20.11.2018;28.05.2019;28.05.2026
MV21;19.03.2019;19.06.2019;19.06.2026
MV71;19.03.2019;19.06.2019;19.06.2026